【阿黨比周】	相互勾結，相互偏袒，結黨營私。
【天涯地角】	指極邊遠的地方。
【天涯海角】	指極遠的地方。亦形容彼此相隔極遠。
【天搖地動】	謂天地搖晃震動。形容力量或聲響巨大。
【天衣無縫】	《太平廣記》卷六八引前蜀牛嶠《靈怪錄·郭翰》：“稍聞香氣漸氵農，翰甚怪之，仰視空中，見有人冉冉而下，直至翰前，乃一少女……徐視其衣並無縫。翰問之，謂翰曰：‘天衣本非針線為也。’”後因以“天衣無縫”喻詩文自然渾成，或事物周密完美，泯然無跡。
【天有不測風雲】	比喻災禍難以預料。
【天誘其衷】	謂上天開導其心意。
【天與人歸】	語出《孟子·萬章上》：“‘然則舜有天下也，孰與之？’曰：‘天與之。’”《穀梁傳·莊公三年》：“其曰王者，民之所歸往也。”後以“天與人歸”謂天命所屬，人心所向。
【天淵之別】	形容差別懸殊。
【天災地變】	自然界發生的災害變異。
【天災地妖】	自然界發生的災害怪異。
【天災人禍】	①詈辭。②自然的災害和人為的禍患。
【天造草昧】	①謂天地之始，萬物草創于混沌矇昧之中。②謂草創之時。
【天造地設】	天然生成。
【天真爛漫】	亦作“天真爛熳”。①純真自然，不虛偽造作。②形容單純、幼稚。
【天真爛熳】	見“天真爛漫”。
【天之驕子】	①漢時匈奴用以自稱。後亦泛稱強盛的邊地少數民族或其首領。②比喻有才能、有影響的人。③現有時亦用於譏諷驕氣十足的人。
【天之僇民】	見“天之戮民”。
【天之戮民】	亦作“天之僇民”。受天懲罰的人；罪人。
【天誅地滅】	為天地所誅滅。意思是天地所不容。多用於發誓、詛咒語中。
【天姿國色】	形容女子姿色絕美。亦指絕色女子。
【天作之合】	《詩·大雅·大明》：“文王初載，天作之合。”毛傳：“合，配也。”本謂文王娶大姒為上天所賜。因用作稱頌婚姻美滿之詞。
【添醋加油】	見“添油加醋”。
【添鹽著醋】	見“添油加醋”。
【添油熾薪】	又作：火上加油。比喻人為地激化矛盾，使事態嚴重。
【添油加醋】	比喻在敘述事情或轉述別人的話時，任意增添細節，誇大或歪曲事實真相。
【添枝加葉】	見“添枝接葉”。
【添枝接葉】	增添樹的枝葉。比喻敘述事情或轉述別人的話時，加上原來沒有的內容，使之走樣。
【添枝增葉】	見“添枝接葉”。
【添磚加瓦】	比喻盡一份微薄的力量。
【田夫野老】	泛指鄉間父老。
【田夫野叟】	同“田夫野老”。
【田父野老】	同“田夫野老”。
【田父野叟】	同“田夫野老”。
【田父之功】	謂不預其事而輕易得益。
【田父之獲】	見“田父之功”。
【田畯野老】	同“田夫野老”。
【田連仟伯】	見“田連阡陌”。
【田連阡陌】	亦作“田連仟伯”。形容田地廣闊。
【田翁野老】	同“田夫野老”。
【恬不為怪】	又作：恬不知怪。
【恬不為意】	處之泰然，滿不在乎。
【恬不知恥】	見“恬不知恥”。
【恬不知恥】	安然處之，不以為恥。
【恬不知怪】	謂安然處之，不以為怪。語本漢賈誼《治安策》：“至於俗流失，世壞敗，因恬而不知怪。”
【恬不知愧】	見“恬不知恥”。
【恬不知羞】	見“恬不知恥”。
【恬淡無為】	心境清靜自適而無所營求。語本《莊子·刻意》：“夫恬惔寂漠，虛無無為，此天地之平，而道德之質也。”
【恬然自足】	謂胸中恬淡，無處不感到滿足。
【恬言柔舌】	又作：甜言蜜語。
【甜酸苦辣】	指種種不同的味道。常用以比喻生活上的種種遭遇和複雜感受。
【甜言美語】	①又作：說好聽的話。②指好言好語。
【甜言媚語】	見“甜言軟語”。
【甜言蜜語】	甜蜜誘人的話。亦指說甜蜜誘人的話。
【甜言軟語】	①亦作“甜言媚語”。溫柔體貼的話。②指說溫柔體貼的話。③同“甜言蜜語”。
【甜嘴蜜舌】	猶甜言蜜語。
【填阬滿谷】	塞滿坑谷。後常用以形容充滿；盛多。
【填街塞巷】	充塞街巷。極言其多。語出《南齊書·虞玩之傳》：“又生不長髮，便謂為道人，填街溢巷，是處皆然。”
【靦顏事仇】	謂不知羞恥地為仇敵做事。
【佻身飛鏃】	隻身射箭殺敵。形容殺敵英勇，視死如歸。
【挑撥離間】	搬弄是非，製造矛盾。
【挑茶斡刺】	尋事生非。
【挑脣料嘴】	見“挑牙料脣”。
【挑肥揀瘦】	謂挑來挑去，下不了決心，拿不定主意。
【挑精揀肥】	猶挑肥揀瘦。
【挑麼挑六】	挑剔，找差錯。
【挑三撥四】	見“挑三豁四”。
【挑三豁四】	謂挑撥是非。
【挑三揀四】	謂挑挑揀揀，嫌這嫌那。
【挑三檢四】	見“挑三揀四”。
【挑三嫌四】	見“挑三揀四”。
【挑牙料脣】	搖動嘴脣。謂吵嘴，爭吵。
【條分節解】	謂逐條逐節進行分析。
【條分縷析】	①形容分析得細密而有條理。②謂進行細密而有條理的分析。
【條貫部分】	謂條理貫穿，部位分明。
【條解支劈】	謂細緻部析。
【條入葉貫】	比喻深入精微，融會貫通。
【條條框框】	謂被視為固定的、不能變通的條例規定。
【條脩葉貫】	枝長葉連。比喻有條理、有系統。
【蜩螗沸羹】	《詩·大雅·蕩》：“如蜩如螗，如沸如羹。”後因以“蜩螗沸羹”形容聲音嘈雜喧鬧，好像蟬噪、水滾、羹沸一樣。常以喻紛擾不寧。
【跳樑小醜】	形容猖狂搗亂而沒有多大能耐的醜惡之徒。
【鐵案如山】	謂證據確鑿的案件或結論，像山一樣不可推翻。
【鐵板釘釘】	①又作：硬碰硬。比喻說話辦事堅決、乾脆。②比喻已成定論。
【鐵板歌喉】	形容豪邁的演唱。
【鐵板銅琶】	見“鐵板銅弦”。
【鐵板銅弦】	形容豪邁激越的文章風格。
【鐵板一塊】	比喻牢不可破的整體。
【鐵棒磨成針】	見“鐵杵磨成針”。
【鐵筆無私】	謂執筆判案不徇私情。
【鐵壁銅牆】	又作：銅牆鐵壁。
【鐵壁銅山】	比喻堅強可靠的勢力。
【鐵腸石心】	比喻剛強而不為感情所動的秉性。
【鐵杵磨成針】	宋祝穆《方輿勝覽·眉州·磨針溪》：“在象耳山下，世傳李太白讀書山中，未成棄去，過是溪，逢老媼方磨鐵杵，問之，曰：‘欲作針’太白感其意還，卒業。”後即以“鐵杵磨成針”、“鐵棒磨成針”比喻只要有恆心，有毅力，做任何事情都能成功。
【鐵綽銅琶】	同“鐵板銅琶”。
【鐵打心腸】	謂心腸像鐵鑄成的。形容人剛強的秉性。
【鐵郭金城】	比喻設防堅固的城池。
【鐵畫銀鉤】	唐歐陽詢《用筆論》：“徘徊俯仰，容與風流，剛則鐵畫，媚若銀鉤”後用“鐵畫銀鉤”謂書法家運筆，其點畫既剛勁，又柔媚。
【鐵畫銀鉤】	見“鐵畫銀鉤”。
【鐵馬金戈】	①形容威武雄壯的士兵和戰馬。②謂戰事，兵事。
【鐵面鎗牙】	比喻堅忍不拔，刻苦自勵。
【鐵面無私】	形容公正嚴明，不講情面。
【鐵石心腸】	又作：鐵打心腸。
【鐵石心肝】	見“鐵石心腸”。
【鐵樹花開】	見“鐵樹開花”。
【鐵樹開花】	亦作“鐵樹開華”。比喻事情非常罕見或極難實現。鐵樹原產熱帶，不常開花。熱帶，不常開花。
【鐵樹開華】	見“鐵樹開花”。
【鐵桶江山】	比喻牢固的政權或地位。
【鐵鞋踏破】	比喻長途跋涉，到處尋求。
【鐵心木腸】	見“鐵心石腸”。
【鐵心石腸】	又作：鐵石心腸。
【鐵硯磨穿】	鐵鑄的硯台被磨穿。形容立志不移，持久不懈。
【鐵獄銅籠】	形容密閉森嚴的監牢。
【鐵證如山】	形容證據確鑿，不可否認。
【鐵中錚錚】	比喻才能較為出眾的人。
【鐵嘴鋼牙】	比喻能言善辯。
【聽而不聞】	①《禮記·大學》：“心不在焉，視而不見，聽而不聞，食而不知其味。”後以“聽而不聞”謂聽了與沒聽見一樣，形容不重視或漠不關心。②謂聽力有限，不聞聲響。
【聽風聽水】	相傳龜茲國王與樂人于大山間傾聽風聲和水聲，感興而制樂。因以形容善於賞玩自然景色。
【聽其自便】	聽憑其任意行動。
【聽其自然】	任憑人或事物自然發展變化，不加干涉。
【聽人穿鼻】	又作：讓人牽著鼻子走。比喻任人支配而無主見。
【聽天安命】	見“聽天由命”。
【聽天任命】	謂聽憑命運擺佈，不作主觀努力。
【聽天委命】	見“聽天任命”。
【聽天由命】	同“聽天任命”。謂聽任事態自然發展變化，不作主觀努力。
【聽微決疑】	注意細微的情節，解決疑難的問題。形容思想縝密，善於通過聽察解決疑難。
【聽之任之】	聽任不管。讓它自行發展。
【亭台樓閣】	泛指建造在園林庭院中供遊憩欣賞的建築。
【亭亭玉立】	形容花木主幹挺拔或美人的身材修長。
【停留長智】	謂耽擱得久了，會想出主意來。
【停辛佇苦】	謂歷盡艱辛。
【停辛貯苦】	見“停辛佇苦”。
【停雲落月】	晉陶潛《停雲詩序》：“停雲，思親友也。”唐杜甫《夢李白》詩之一：“落月滿屋樑，猶疑照顏色。”後人因常在書札中用“停雲落月”表示對友人的思慕。
【鋌而走險】	謂被迫走冒險的道路。挺，本作“鋌”。
【挺鹿走險】	鋌而走險。謂事急之時，被迫冒險行事。語本《左傳·文公十七年》：“古人有言曰……‘鹿死不擇音（廕）’小國之事大國也，德則其人也，不德則其鹿也，鋌而走險，急何能擇。”
【挺身而出】	勇敢地站出來。
【挺胸凸肚】	①形容得意或狂妄自大的樣子。②形容精神飽滿的樣子。
【鋌而走險】	指因無路可走而採取冒險行動。
【鋌鹿走險】	①見“鋌而走險”。②指因無路可走而採取冒險行動。
【通變達權】	同“通權達變”。
【通才練識】	博學多才，見識練達。
【通才碩學】	學識通達淵博的人。
【通材達識】	指博學多才、見識練達的人。
【通都大埠】	同“通都大邑”。
【通都大邑】	四通八達的大城市。
【通都巨邑】	同“通都大邑”。
【通風報信】	暗中傳遞消息。
【通風報訊】	見“通風報信”。
【通風討信】	又作：通風報信。
【通工易事】	見“通功易事”。
【通功易事】	謂人各有業，互通有無。
【通共有無】	謂互相接濟；互通有無。
【通古博今】	同“通今博古”。
【通古達變】	通曉古代的學問，根據實際情況靈活行事。
【通計熟籌】	全面考慮，仔細籌劃。
【通今博古】	通曉古今的學問。
【通今達古】	同“通今博古”。
【通力合作】	共同出力，一起來做。
【通南徹北】	謂貫穿南北。
【通前徹後】	從開頭到結尾。全部，整個。
【通前澈後】	見“通前徹後”。
【通前至後】	見“通前徹後”。
【通情達理】	懂得道理，說話做事合情合理。
【通衢大邑】	同“通都大邑”。
【通衢廣陌】	四通八達的寬廣大路。
【通權達變】	謂適應客觀情況的變化，因時制宜，不拘常規。
【通權達理】	通曉權宜與事理。
【通儒達識】	見“通儒達士”。
【通儒達士】	指知識淵博、明智達理的學者。
【通儒碩學】	又作：通儒達士。
【通上徹下】	①謂從天到地。②從上到下。指所有的人。
【通時達變】	同“通權達變”。
【通時達務】	謂瞭解客觀形勢。
【通時合變】	同“通權達變”。
【通首至尾】	從開始到結尾。又作：原原本本。
【通書達禮】	謂通詩書，懂禮儀。
【通天徹地】	①形容本領十分高強。②從天到地，到處。
【通天達地】	又作：頂天立地。
【通同一氣】	互相串通勾結。
【通文達禮】	謂有學問懂禮儀。
【通文達理】	謂有學問懂道理。
【通文達藝】	多才多藝，知識淵博。
【通文調武】	謂賣弄文才和武藝。
【通無共有】	見“通共有無”。
【通險暢機】	使險要之地暢通無阻。
【通宵徹旦】	見“通宵徹晝”。
【通宵徹夜】	整夜。
【通宵達旦】	一夜到天亮。
【通邑大都】	同“通都大邑”。
【通憂共患】	共同承擔憂患。
【通幽動微】	見“通幽洞微”。
【通幽洞靈】	通曉、洞察幽冥靈異之事。
【通幽洞冥】	通曉、洞察幽冥之事。
【通幽洞微】	通曉、洞察幽深而細微的道理。
【通元識微】	通曉玄奧微妙的道理。
【通真達靈】	與神仙交往。
【痌瘝一體】	謂對民間疾苦感同身受，看作是自己的痛苦。
【痌瘝在抱】	謂把人民的疾苦放在心上。
【同胞共氣】	喻指親兄弟。
【同敝相濟】	猶同惡相濟。
【同病相憐】	比喻有同樣不幸的遭遇者相互同情。
【同塵合汙】	謂行為同於流俗之人，合于污濁之世。
【同仇敵慨】	見“同仇敵愾”。
【同仇敵愾】	亦作“同仇敵慨”。語本《詩·秦風·無衣》：“與子同仇。”《左傳·文公四年》：“諸侯敵王所愾。”孔穎達疏：“當王所怒，謂往征伐之。”後以“同仇敵愾”指全體一致地痛恨、打擊敵人。
【同船合命】	比喻處境相同，利害相關。
【同床各夢】	比喻共同生活或共做一事而各有打算。
【同床共枕】	謂同床並頭而眠。多指夫妻生活。
【同床異夢】	同“同床各夢”。
【同垂不朽】	一同流傳，永不磨滅。
【同德同心】	見“同心同德”。
【同德協力】	為同一目標而共同儘力。
【同德一心】	謂全心全意為共同目標努力。
【同惡共濟】	見“同惡相濟”。
【同惡相黨】	共為惡者相結為黨。
【同惡相濟】	亦作“同惡共濟”。謂惡人互相幫助，狼狽為奸。
【同惡相求】	同作惡者，彼此互有需求。
【同惡相恤】	見“同惡相助”。
【同惡相助】	亦作“同惡相恤”。謂對共同憎惡者，必相互援助以對付之。
【同符合契】	比喻完全相合，完全相同。
【同甘共苦】	亦省作“同甘苦”。一同嘗甘苦之味。比喻有福同享，有難同當。常偏指共患難。
【同工異曲】	曲調雖異，演奏得卻同樣精妙。比喻不同的人的辭章或言論同樣精彩，或做法雖不同而效果卻一樣。
【同功一體】	功績地位一樣。
【同歸殊涂】	語出《易·繫辭下》：“天下同歸而殊涂，一致而百慮。”原謂天下萬事初雖異，然終究同歸於一。後泛指途徑不同而結果相同。
【同歸殊途】	見“同歸殊涂”。
【同歸於盡】	一同毀滅或死亡。
【同類相從】	謂物之同類者互相依從。
【同類相妒】	形容同類者不易相處。
【同類相求】	謂物之同類者互相聚合。
【同力協契】	又作：同心協力。
【同利相死】	謂有共同利益，就能捨命相助。
【同流合汙】	見“同流合污”。
【同流合汙】	見“同流合污”。
【同流合污】	①謂隨俗浮沉。語本《孟子·盡心下》：“同乎流俗，合乎污世。”②指隨同壞人，為非作歹。
【同美相妒】	同是美人，互相妒嫉。比喻有同樣擅長的人不易相處。
【同明相照】	謂二光相互映照而愈明。比喻傑出人物得賢者揄揚而聲名更顯。
【同年而校】	又作：相提並論。
【同年而語】	又作：相提並論。
【同盤而食】	同吃一個盤中的食物。形容兄弟之間骨肉情深。語出《魏書·楊椿傳》：“椿臨行，誡子孫曰：‘……吾兄弟，若在家，必同盤而食，若有近行，不至，必待其還，亦有過中不食，忍饑相待。’”亦省作“同盤”。
【同氣連枝】	喻指同胞兄弟姐妹。
【同氣相求】	《易·乾》：“同聲相應，同氣相求。”孔穎達疏：“‘同氣相求’者，若天欲雨，而礎柱潤是也……言天地之間，共相感應，各從其氣類。”後以比喻志趣相同或氣質相類者互相吸引、聚合。
【同然一辭】	猶異口同聲。
【同日而道】	同“同日而論”。
【同日而論】	又作：相提並論。
【同日而言】	同“同日而論”。
【同日而語】	同“同日而論”。
【同生共死】	生死與共，形容情誼極深。
【同聲共氣】	比喻親密無間，志趣相合。
【同聲同氣】	見“同聲共氣”。
【同聲相求】	謂志趣相同者互相吸引、聚合。
【同聲相應】	①指樂聲相和。②比喻同類事物互相感應。③比喻志趣相同者互相呼應。
【同聲一辭】	又作：眾口一辭。
【同室操戈】	春秋鄭徐吾犯之妹有美色，公孫楚與其從兄公孫黑爭娶之。楚已納聘，黑欲強奪，公孫楚“執戈逐之，及沖，擊之以戈”。事見《左傳·昭公元年》。又《後漢書·鄭玄傳》載，何休好《公羊傳》而惡《左傳》、《穀梁傳》，鄭玄乃著論以駁之，“休見而嘆曰：‘康成（玄之字）入吾室，操吾矛，以伐我乎！’”後以“同室操戈”比喻兄弟相殘或內部紛爭。
【同條共貫】	①事理相通，脈絡連貫。②謂行事相仿，可以相提並論。
【同文共規】	見“同文共軌”。
【同文共軌】	亦作“同文共規”。《禮記·中庸》：“今天下車同軌，書同文，行同倫。”後以“同文共軌”比喻國家統一。
【同心畢力】	齊心儘力。
【同心並力】	同“同心協力”。
【同心敵愾】	同懷強烈的憤恨以對付敵人。
【同心斷金】	《易·繫辭上》：“二人同心，其利斷金。”後以“同心斷金”形容心齊力量大。
【同心共膽】	亦作“同心合膽”。心志一致。
【同心共濟】	亦作“同心協濟”。謂齊心協力，克服困難。
【同心合膽】	見“同心共膽”。
【同心合德】	同“同心同德”。
【同心合力】	同“同心協力”。
【同心合意】	同“同心一意”。
【同心竭力】	同“同心畢力”。
【同心僇力】	見“同心戮力”。
【同心戮力】	齊心合力。
【同心同德】	謂思想行動完全一致。
【同心協德】	同“同心同德”。
【同心協濟】	見“同心共濟”。
【同心協力】	齊心合力。謂心往一處想，力往一處使。
【同心葉力】	同“同心協力”。
【同心一德】	同“同心同德”。
【同心一力】	同“同心協力”。
【同心一意】	心志一致。
【同休等戚】	見“同休共戚”。
【同休共戚】	亦作“同休等戚”。①謂同歡樂共憂患。形容關係密切，利害一致。②偏指共患難。
【同業相仇】	又作：同行是冤家。形容同行業的人不易相處。
【同音共律】	音律相同。比喻關係密切。
【同憂相救】	謂憂患相同者互相救助。
【同源共流】	有同一源頭、流向。比喻同一，統一。
【同源異流】	謂起始、發端相同而趨向、終結不同。
【同源異派】	見“同源異流”。
【同舟共濟】	同乘一條船渡水。比喻同心協力，戰勝困難。
【同舟共命】	比喻命運相同，利害一致。
【同舟遇風】	比喻同遭逆境。
【銅城鐵壁】	見“銅牆鐵壁”。
【銅脣鐵舌】	比喻雄辯的口才。
【銅打鐵鑄】	形容非常牢靠、穩固。
【銅澆鐵鑄】	形容體格非常強壯。
【銅筋鐵骨】	形容人的身體十分壯實強健。
【銅筋鐵肋】	見“銅筋鐵骨”。
【銅盤重肉】	貴重的食器，豐盛的飯菜。引申指特殊恩寵。
【銅牆鐵壁】	見“銅牆鐵壁”。
【銅牆鐵壁】	比喻十分堅固、不可摧毀的事物。
【銅山金穴】	比喻極其富有。
【銅山鐵壁】	亦作“銅山鐵壁”。①比喻可以信賴的堅強人物。②形容十分堅固，不易摧毀的事物。
【銅山鐵壁】	見“銅山鐵壁”。
【銅山西崩，洛鐘東應】	南朝宋劉義慶《世說新語·文學》：“殷荊州曾問遠公：‘《易》以何為體？’答曰：‘《易》以感為體。’殷曰：‘銅山西崩，靈鐘東應，便是《易》耶？’”劉孝標註引《東方朔傳》：“孝武皇帝時，未央宮前殿鐘無故自鳴，三日三夜不止。詔問太史待詔王朔，朔言恐有兵氣。更問東方朔，朔曰：‘臣聞銅者山之子，山者銅之母，以陰陽氣類言之，子母相感，山恐有崩弛者，故鐘先鳴。《易》曰“鳴鶴在陰，其子和之。”精之至也。其應在後五日內。’居三日，南郡太守上書言山崩，延袤二十餘裡。”後以“銅山西崩，洛鐘東應”表示重大事件彼此互相影響。
【銅頭鐵臂】	見“銅頭鐵額”。
【銅頭鐵額】	形容異常勇猛強悍，刀槍不入。
【銅駝草莽】	同“銅駝荊棘”。
【銅駝荊棘】	《晉書·索靖傳》：“靖有先識遠量，知天下將亂，指洛陽宮門銅駝，嘆曰：‘會見汝在荊棘中耳！’”後因以“銅駝荊棘”指山河殘破、世族敗落或人事衰頹。
【銅圍鐵馬】	比喻堅固的陣勢。
【銅心鐵膽】	形容人的意志堅定。
【銅鑄鐵澆】	見“銅澆鐵鑄”。
【童男童女】	男孩和女孩。
【童牛角馬】	無角之牛與有角之馬。喻絕無之事物。
【童叟無欺】	連老人、孩子都不欺騙。謂買賣公平。
【童顏鶴髮】	紅潤如兒童的容顏，白如鶴羽的頭髮。意謂年老而清健。
【統籌兼顧】	通盤籌劃，照顧全局。
【痛不欲生】	悲痛得不想活下去。形容悲痛到極點。語出宋呂大鈞《弔說》：“其惻怛之心、痛疾之意不欲生。”
【痛滌前非】	徹底滌除以前所犯的錯誤。
【痛定思痛】	創痛平復或悲痛的心情平靜之後，回想當時所遭的痛苦。含有吸取教訓，警惕未來的意思。語本唐韓愈《與李翱書》：“仆在京城八九年，無所取資，日求於人，以度時月，當時行之不覺也。今而思之，如痛定之人，思當痛之時，不知何能自處也。”
【痛改前非】	徹底改正以前所犯的錯誤。
【痛貫心膂】	形容悲痛到極點。
【痛悔前非】	徹底悔恨以前所犯的錯誤。
【痛湔宿垢】	猶痛改前非。湔，洗。
【痛剿窮追】	竭盡全力剿滅追殺。
【痛哭流涕】	盡情哭泣，雙淚長流。常形容痛心悲憤或傷心到極點。
【痛快淋漓】	①非常暢快。②形容文章、說話非常透徹詳盡。
【痛入骨髓】	形容痛恨到極點。
【痛入心脾】	形容悲痛到極點。
【痛深惡絕】	極端痛恨、厭惡。
【痛誣醜詆】	盡情誣衊，用很難聽的話譭謗。
【痛心病首】	猶痛心疾首。形容極其悲憤。
【痛心疾首】	①形容痛恨到極點。②形容悲傷到極點。③又作：狠下決心。
【痛心絕氣】	形容悲憤到極點。
【痛心切骨】	①傷痛透到骨頭裡。形容悲憤之至。②形容痛苦的程度極深。
【痛心入骨】	謂傷痛入于骨髓。形容極其傷心。
【痛心傷臆】	形容悲痛到極點。
【痛癢相關】	又作：利害相關。亦謂親愛之人彼此關心。
【痛飲黃龍】	黃龍，府名。金國的都城，在今吉林省農安縣。《宋史·岳飛傳》：“金將軍韓常欲以五萬眾內附。飛大喜，語其下曰：‘直抵黃龍府，與諸君痛飲爾！’”《說岳全傳》第七七回：“痛飲黃龍雪舊恥，平吞鴨綠報新君。”意謂攻克敵京，置酒高會以祝捷。後泛指為打垮敵人而開懷暢飲。
【痛於骨髓】	猶痛入骨髓。
【痛自創艾】	謂徹底地改正自己的過錯，重新做人。
【偷工減料】	①不按質量要求，偷省工序，暗減用料。②以喻做事貪圖省事，馬虎敷衍。
【偷寒送暖】	①奉承拍馬。②指對人關切。元曲中多指暗中撮合男女私情。③喻偷情。
【偷合苟容】	亦作“偷合取容”。謂苟且迎合以取悅於人。
【偷合取容】	見“偷合苟容”。
【偷雞盜狗】	見“偷雞摸狗”。
【偷雞摸狗】	亦作“偷雞盜狗”。①指偷竊。②指背著自己的配偶和他人搞男女關係。
【偷樑換柱】	比喻用欺騙的手法暗中改變事物的內容或事情的性質。
【偷媚取容】	巧黠諂媚以取悅於人。
【偷聲細氣】	輕聲輕氣。
【偷天換日】	比喻用欺騙的手法暗中改變事物的內容或事情的性質。
【偷閒躲靜】	擺脫雜務，得個清靜。
【偷香竊玉】	謂與女人偷情私通。
【媮合苟從】	迎合順從。
【媮合苟容】	謂苟且迎合以求容身。
【媮合苟容】	謂苟且迎合以求容身。
【頭出頭沒】	語本《五燈會元·投子同禪師法嗣·濠州思明禪師》：“問：‘如何是清潔法身。’師曰：‘屎裡蛆兒，頭出頭沒。’”後用以比喻追隨世俗。
【頭會箕賦】	見“頭會箕斂”。
【頭會箕斂】	按人數征稅，用畚箕裝取所征的穀物。謂賦稅苛刻繁重。
【頭昏目眩】	見“頭昏目暈”。
【頭昏目暈】	又作：頭昏眼花。
【頭昏腦悶】	又作：頭昏腦脹。
【頭昏腦眩】	見“頭昏腦脹”。
【頭昏腦脹】	頭部昏暈，腦子發脹。
【頭昏眼暗】	又作：頭昏眼花。
【頭昏眼花】	頭腦昏暈，眼睛發花。
【頭焦額爛】	形容十分狼狽窘迫。
【頭角崢嶸】	①比喻青少年氣概或才能不同尋常。②形容激進、時興、引人注目的樣子。
【頭面人物】	指在社會上有較大勢力和聲望而又經常拋頭露面的人物。
【頭破血出】	同“頭破血流”。
【頭破血淋】	見“頭破血流”。
【頭破血流】	形容受到嚴重打擊或遭到慘敗的樣子。
【頭上安頭】	《五燈會元·夾山會禪師法嗣·洛浦元安禪師》：“今有一事問汝等：若道這個是，即頭上安頭；若道不是，即斬頭求活。”意謂禪宗意旨應該頓悟，一切思量分辨猶如“頭上安頭”都是累贅重複，多此一舉。後因以比喻累贅多餘。
【頭上末下】	①謂從上到下，從最前頭一個到最末尾一個。②頭一回，第一次。
【頭上著頭】	又作：頭上安頭。
【頭梢自領】	自己扯著頭髮。比喻自討苦吃，自找麻煩。
【頭稍自領】	見“頭梢自領”。
【頭疼腦熱】	指小的病痛。亦指小災小難。
【頭童齒豁】	頭禿齒缺。形容衰老。
【頭痛額熱】	見“頭疼腦熱”。
【頭痛灸頭，腳痛灸腳】	謂針對疼痛的部位治療，不追究病根。比喻只解決具體問題，不深究產生問題的根源。
【頭痛腦熱】	見“頭疼腦熱”。
【頭痛醫頭，腳痛醫腳】	比喻做事缺乏通盤計劃，不從根本上解決問題，只在表面上忙於應付。
【頭痛治頭，足痛治足】	見“頭痛灸頭，腳痛灸腳”。
【頭頭是道】	原為佛教語，指處處都存在著道。後用以形容說話或做事有條不紊。語本《續傳燈錄·慧力洞源禪師》：“方知頭頭方是道，法法本圓成。”
【頭眩目昏】	同“頭昏眼花”。
【頭癢搔跟】	頭上發癢卻抓腳跟。比喻抓不到問題的關鍵，於事無補。
【頭一無二】	唯一，只有一個。
【頭暈目眩】	頭腦暈亂，眼睛昏花。
【頭重腳輕】	①形容因酒醉或犯病等原因而感到頭腦發脹，腳下無力，身體失去平衡。②形容事物上下或前後不協調，不均稱，失去平衡。
【頭足異處】	謂被斬。
【頭足異所】	見“頭足異處”。
【投筆從戎】	《後漢書·班超傳》：“扞班超呴家貧，常為官傭書以供養。久勞苦，嘗輟業投筆嘆曰：‘大丈夫無它志略，猶當效傅介子、張騫立功異域，以取封侯，安能久事筆研間乎？’”後立功西域，封定遠侯。因以“投筆從戎”為棄文就武的典故。
【投畀豺虎】	謂將壞人投飼豺虎。表示深惡痛絕。
【投鞭斷流】	前秦苻堅將攻東晉，部下石越認為晉有長江之險，不可輕動。苻堅說：“以吾之眾旅，投鞭於江，足斷其流，何險之足恃？”見《晉書·苻堅載記下》。後以“投鞭斷流”形容兵眾勢大。
【投膏止火】	用油去澆滅火，火反而燒得更旺。比喻舉措失當，適得其反。
【投戈講藝】	謂在軍中仍不廢學。後亦泛謂偃武修文。
【投河奔井】	謂投水自殺。
【投壺電笑】	《神異經·東荒經》：“東荒山中有大石室，東王公居焉……恆與一玉女投壺，每投千二百矯，設有入不出者，……矯出而脫悞不接者，天為之笑。”張華註：“言笑者，天口流火炤灼，今天不下雨而有電光是天笑也。”後遂以“投壺電笑”為閃電不雨之典。
【投機倒把】	謂以囤積居奇、買空賣空、攙雜作假、操縱物價等手段攫取暴利。
【投機取巧】	耍小聰明，利用時機謀取私利。
【投間抵隙】	同“投隙抵巇”。
【投閒置散】	見“投閒置散”。
【投井下石】	見“投阱下石”。
【投阱下石】	比喻乘人之危加以陷害。語出唐韓愈《柳子厚墓誌銘》：“一旦臨小利害，落陷穽不一引手救，反擠之又下石焉者，皆是也。”
【投卵擊石】	比喻不自量力，自取失敗。
【投木報瓊】	《詩·衛風·木瓜》：“投我以木瓜，報之以瓊琚。匪報也，永以為好也。”原謂男女相愛互贈禮品。後用以指報答他人對待自己的深情厚誼。
【投其所好】	投合對方的愛好。
【投刃皆虛】	《莊子·養生主》謂庖丁解牛，三年後所見皆非全牛，只見其骨節皆空虛，“彼節者有閒，而刀刃者無厚，以無厚入有閒，恢恢然其於遊刃必有餘地矣”。後因以“投刃皆虛”比喻處理事務得心應手。
【投山竄海】	謂放逐到荒涼邊遠地區。
【投石拔距】	見“投石超距”。
【投石超距】	古代軍中的習武練功活動。
【投石問路】	原指夜間潛入某處前，先投以石子，看看有無反應，藉以探測情況。後用以比喻進行試探。
【投石下井】	見“投阱下石”。
【投鼠忌器】	比喻欲除害而有所顧忌。語本漢賈誼《治安策》：“裡諺曰：‘欲投鼠而忌器。’此善諭也。鼠近於器，尚憚不投，恐傷其器，況於貴臣之近主乎！”
【投鼠之忌】	見“投鼠忌器”。
【投梭折齒】	《晉書·謝鯤傳》：“鄰家高氏女有美色，鯤嘗挑之，女投梭，折其兩齒。”後以“投梭折齒”為女子拒絕調戲的典故。
【投梭之拒】	見“投梭折齒”。
